id;name;day_of_event
4e7797d7-568c-471c-8403-82ad3413bb2d;Samstag vorher;-4
b4c44695-4306-49ff-800e-bcb7c4a8fe11;Dienstag;-1
13f7e732-b426-4dbd-8fd1-8b3402afaecc;Mittwoch;0
347b9ea8-cd20-4912-a55a-893a8e855d88;Donnerstag;1
bf3574ee-f618-4ef3-9927-754d2ce21be0;Freitag;2
bb75c516-1c41-428d-b78d-db4dc6f1dcbb;Samstag;3
41bcc9fb-5245-459c-93f2-b27513c8bed0;Sonntag;4
